@relation ArabicTextComplexity

@attribute avgSentenceLength numeric
@attribute avgWordLength numeric
@attribute typeTokenRatio numeric
@attribute longWordRatio numeric
@attribute consonantClusterRatio numeric
@attribute complexityLevel {A,B,C,A+,B+}

@data
8,5.5,1,0.25,2.375,B
7,4.714286,1,0,1.428571,B
8,5,1,0.125,2.375,B
8,5,1,0.125,2.25,B
4.5,4.666667,1,0.222222,2,B
3.5,5,1,0.285714,2.142857,B
3.5,6.428571,1,0.714286,2,B
3,5.833333,1,0.666667,2.333333,B
4.5,4.888889,1,0.222222,2,B
4.5,5,1,0.222222,1.555556,B
4,4.625,1,0.125,2,B
5,5.1,1,0.2,2,B
4,4.875,1,0.125,1.875,B
3.5,4.857143,1,0.142857,2.428571,B
4.5,5.111111,1,0.333333,1.777778,B
4.5,5.222222,1,0.444444,1.666667,B
4,4.25,1,0,1.625,B
4,4.625,1,0.125,2.125,B
5,4.3,1,0.1,1.8,B
4,4.75,1,0.25,2.125,B
4,4.625,1,0.125,1.5,B
6,6.5,1,0.5,2.166667,B
3.5,5.285714,1,0.142857,2,B
4.5,5.555556,1,0.333333,1.444444,B
3.5,4.285714,1,0,1.428571,B
5,4.4,1,0.1,1.5,B
4,4.5,1,0,1.375,B
4.5,5.333333,1,0.444444,1.444444,B
4.5,5.666667,1,0.333333,2.555556,B
5.5,4.545455,1,0.090909,1.272727,B
4,5.25,1,0.125,2.25,B
5,4.7,1,0.3,1.9,B
4,5.125,1,0.375,2.375,B
5,4.7,1,0.2,1.3,B
6,4.083333,1,0,2.083333,B
5,5.2,1,0.2,1.9,B
4,5.375,1,0.375,1.125,B
3.5,6.142857,1,0.428571,1.857143,B
4.5,4.555556,1,0.222222,1,B
4.5,4.555556,1,0.111111,1.555556,B
4,5.5,1,0.25,2,B
4,5,1,0.125,1.75,B
4.5,5,1,0.111111,1.555556,B
3,5,1,0.166667,1.833333,B
4,4.625,1,0,1.5,B
4,5,1,0.125,1.75,B
3.5,4.714286,1,0.142857,2.714286,B
3.5,6,1,0.428571,1.571429,B
3,5.833333,1,0.5,2.333333,B
5,5,1,0.3,1.6,B
4,4.625,1,0.125,2.25,B
3.5,5.285714,1,0,2.285714,B
4,4.625,1,0.125,2.125,B
